2022-05-07 09:55:06,444 | INFO | ### Started ###
2022-05-07 09:55:06,444 | INFO | lula
2022-05-07 09:55:07,394 | INFO | 200
2022-05-07 09:55:08,314 | INFO | 200
2022-05-07 09:55:08,317 | INFO | bolsonaro
2022-05-07 09:55:09,234 | INFO | 200
2022-05-07 09:55:10,080 | INFO | 200
2022-05-07 09:55:10,083 | INFO | sergio moro
2022-05-07 09:55:11,082 | INFO | 200
2022-05-07 09:55:11,999 | INFO | 200
2022-05-07 09:55:12,001 | INFO | ciro gomes
2022-05-07 09:55:13,024 | INFO | 200
2022-05-07 09:55:13,950 | INFO | 200
2022-05-07 09:55:13,954 | INFO | joão doria
2022-05-07 09:55:14,854 | INFO | 200
2022-05-07 09:55:15,688 | INFO | 200
2022-05-07 09:55:15,693 | INFO | rodrigo pacheco
2022-05-07 09:55:16,392 | INFO | 200
2022-05-07 09:55:17,109 | INFO | 200
2022-05-07 09:55:17,113 | INFO | simone tebet
2022-05-07 09:55:17,777 | INFO | 200
2022-05-07 09:55:18,456 | INFO | 200
2022-05-07 09:55:18,459 | INFO | alessandro vieira
2022-05-07 09:55:19,330 | INFO | 200
2022-05-07 09:55:20,081 | INFO | 200
2022-05-07 09:55:20,085 | INFO | aldo rebelo
2022-05-07 09:55:20,795 | INFO | 200
2022-05-07 09:55:21,615 | INFO | 200
2022-05-07 09:55:21,619 | INFO | andré janones
2022-05-07 09:55:22,382 | INFO | 200
2022-05-07 09:55:23,149 | INFO | 200
2022-05-07 09:55:23,152 | INFO | felipe d'ávila
2022-05-07 09:55:23,868 | INFO | 200
2022-05-07 09:55:24,581 | INFO | 200
2022-05-07 09:55:24,584 | INFO | leonardo péricles
2022-05-07 09:55:25,420 | INFO | 200
2022-05-07 09:55:26,119 | INFO | 200
2022-05-07 09:55:26,630 | INFO | ### Finished ###
